所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/用户管理（封伟） - 查询 - 账号/姓名/手机号，模糊搜索/,查询界面不显示手机号字段,已登录系统且具有用户管理菜单权限,"1. 进入用户管理页面
2. 查看查询区域字段","1. 页面正常显示用户管理列表
2. 查询区域仅显示账号、姓名输入框，不显示手机号字段",1,3,功能测试,功能测试阶段
/用户管理（封伟） - 查询 - 账号/姓名/手机号，模糊搜索/,查询界面无手机号搜索输入框,已进入用户管理页面,1. 在查询区域查找手机号输入框,1. 查询区域不存在手机号输入框，无法通过手机号搜索,1,3,功能测试,功能测试阶段
/用户管理（封伟） - 查询/,查询-按账号模糊搜索,存在多个用户，账号包含关键字'zhang'，如'zhangsan'、'zhangwei',"1. 进入用户管理列表页
2. 在查询输入框输入'zhang'
3. 点击查询按钮","1. 列表页正常显示
2. 输入框显示'zhang'
3. 列表仅显示账号包含'zhang'的用户，且按创建时间倒序排列",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 查询/,查询-按姓名模糊搜索,存在多个用户，姓名包含关键字'张'，如'张三'、'张伟',"1. 进入用户管理列表页
2. 在查询输入框输入'张'
3. 点击查询按钮","1. 列表页正常显示
2. 输入框显示'张'
3. 列表仅显示姓名包含'张'的用户，且按创建时间倒序排列",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 查询/,查询-账号和姓名组合模糊搜索,存在用户：账号'zhangsan'姓名'张三'，账号'lisi'姓名'李四',"1. 进入用户管理列表页
2. 在查询输入框输入'zhang 张'
3. 点击查询按钮","1. 列表页正常显示
2. 输入框显示'zhang 张'
3. 列表仅显示账号包含'zhang'且姓名包含'张'的用户，即'zhangsan/张三'",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 查询/,查询-无匹配结果,用户列表中不存在账号或姓名包含'xyz'的用户,"1. 进入用户管理列表页
2. 在查询输入框输入'xyz'
3. 点击查询按钮","1. 列表页正常显示
2. 输入框显示'xyz'
3. 列表显示无数据，提示'暂无数据'",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 查询/,查询-输入特殊字符,用户列表中存在正常用户,"1. 进入用户管理列表页
2. 在查询输入框输入'@#$%'
3. 点击查询按钮","1. 列表页正常显示
2. 输入框显示'@#$%'
3. 列表显示无数据，提示'暂无数据'",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 查询/,查询-输入空格,用户列表中存在正常用户,"1. 进入用户管理列表页
2. 在查询输入框输入'   '（多个空格）
3. 点击查询按钮","1. 列表页正常显示
2. 输入框显示空格
3. 列表显示全部用户，按创建时间倒序排列",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 查询/,查询-清空查询条件,已执行过查询，列表显示过滤结果,"1. 在查询输入框输入'zhang'并查询
2. 清空输入框
3. 点击查询按钮","1. 列表显示过滤结果
2. 输入框为空
3. 列表显示全部用户，按创建时间倒序排列",1,2,功能测试,功能测试阶段
/用户管理（封伟） - 查询 - 【重置】/,重置后查询条件恢复为空并执行查询,已登录系统且具有用户管理菜单权限；用户列表中存在至少一条用户数据；查询区域已输入账号或姓名等条件,"1. 在查询区域输入账号或姓名等查询条件
2. 点击【查询】按钮，确认列表按条件过滤
3. 点击【重置】按钮
4. 观察查询区域各输入框内容
5. 点击【查询】按钮","1. 查询条件输入成功
2. 列表显示符合查询条件的用户数据
3. 重置成功，查询区域所有输入框内容清空
4. 查询区域各输入框均为空
5. 列表显示全部用户数据，且按创建时间倒序排列",1,2,功能测试,功能测试阶段
