所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 总任务数/,工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 总任务数 - 该用户的总任务数/管理员所有任务总数,系统已启动，用户已登录,"1. 打开工作台页面
2. 选择数据统计功能
3. 点击查看总任务数按钮","1. 成功打开工作台页面
2. 数据统计功能成功加载
3. 系统展示该用户的总任务数和管理员所有任务总数",1,1,功能测试,功能测试阶段
/工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 待采集/,工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 待采集 - 状态为“已创建”，还未采集完成的任务,系统已启动，用户已登录,"1. 打开数据统计功能页面
2. 选择待采集状态
3. 点击展示所有数据按钮","1. 成功打开数据统计页面
2. 状态为“已创建”的任务被正确筛选
3. 系统成功展示所有未采集完成的任务",1,4,功能测试,功能测试阶段
/工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 待标注/,工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 待标注 - 状态为“已采集”，还未提交标注的任务,系统已启动，用户已登录,"1. 打开工作台功能页面
2. 选择数据统计模块
3. 过滤状态为“已采集”的任务
4. 查看待标注的任务列表","1. 成功打开工作台页面
2. 成功进入数据统计模块
3. 系统正确过滤出状态为“已采集”的任务
4. 显示待标注的任务列表",1,4,功能测试,功能测试阶段
/工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 待质检/,工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 待质检 - 状态为“已标注”，还未完成质检的任务,系统已启动，用户已登录,"1. 打开工作台页面
2. 选择数据统计功能
3. 过滤状态为“已标注”的任务
4. 查看待质检的任务列表","1. 成功打开工作台页面
2. 数据统计功能正常显示
3. 成功过滤出状态为“已标注”的任务
4. 显示待质检的任务列表",1,1,功能测试,功能测试阶段
/工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 已转换/,工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 已转换 - 已完成数据转换的任务,系统已启动，用户已登录,"1. 打开工作台页面
2. 选择数据统计功能
3. 点击已转换选项
4. 查看已完成数据转换的任务","1. 成功打开工作台页面
2. 数据统计功能成功加载
3. 已转换选项成功显示
4. 系统展示所有已完成数据转换的任务",1,2,功能测试,功能测试阶段
/工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 已导出/,工作台（林禹成） - 数据统计 - 管理员展示所有数据 - 已导出 - 已完成数据导出的任务,系统已启动，用户已登录,"1. 打开数据统计功能页面
2. 选择已导出的数据任务
3. 点击查看已完成数据的按钮","1. 成功打开数据统计页面
2. 正确显示已导出的数据任务
3. 系统成功展示已完成数据",1,3,功能测试,功能测试阶段
/工作台（林禹成） - 数据统计/,工作台（林禹成） - 数据统计 - 非管理员不展示此区域,系统已启动，用户已登录,"1. 打开工作台页面
2. 检查数据统计区域是否可见","1. 成功打开工作台页面
2. 数据统计区域对非管理员用户不可见",1,3,功能测试,功能测试阶段
/工作台（林禹成） - 我的任务/任务列表/,工作台（林禹成） - 我的任务/任务列表 - 展示当前用户所有的任务/管理员展示所有任务,系统已启动，用户已登录,"1. 打开工作台页面
2. 选择我的任务或任务列表选项
3. 查看当前用户的所有任务或管理员的所有任务","1. 成功打开工作台页面
2. 正确显示我的任务或任务列表选项
3. 系统成功展示当前用户的所有任务或管理员的所有任务",1,3,功能测试,功能测试阶段
/工作台（林禹成） - 我的任务/任务列表 - 可点击【详情】查看/,工作台（林禹成） - 我的任务/任务列表 - 可点击【详情】查看 - 与任务管理中【详情】内容一致,系统已启动，用户已登录,"1. 打开工作台页面
2. 进入我的任务/任务列表
3. 点击某个任务的【详情】按钮","1. 成功打开工作台页面
2. 成功显示我的任务/任务列表
3. 弹出任务详情窗口，内容与任务管理中的【详情】一致",1,3,功能测试,功能测试阶段
/任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 总任务数/,任务管理（林禹成） - 展示：当前用户的数据/管理员展示所有数据 - 总任务数 - 该用户的总任务数/管理员所有任务总数,系统已启动，用户已登录,"1. 打开任务管理页面
2. 根据用户角色选择展示当前用户的数据或管理员展示所有数据
3. 查看总任务数和该用户的总任务数/管理员所有任务总数","1. 成功打开任务管理页面
2. 数据根据用户角色正确展示
3. 总任务数和该用户的总任务数/管理员所有任务总数正确显示",1,3,功能测试,功能测试阶段
