所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 数据来源：当前数据统计来源都是一休云质检空间数量,系统已启动，用户已登录,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域
3. 检查数据来源是否为一休云质检空间数量","1. 成功打开全局看板页面
2. 项目类型数量展示区域可见
3. 数据来源显示为当前数据统计来源都是一休云质检空间数量",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 枚举值 - 全部（默认值）,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域
3. 点击项目状态统计下拉筛选框","1. 成功打开全局看板页面
2. 定位到项目类型数量展示区域
3. 下拉筛选框显示并默认选中全部（默认值）",1,3,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 枚举值 - 进行中,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域
3. 点击项目状态统计下拉筛选框","1. 下拉筛选框成功打开
2. 显示所有可用的项目状态枚举值
3. 枚举值中包含'进行中'状态",1,3,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 枚举值 - 已结项,系统已启动，用户已登录,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域
3. 点击项目状态统计下拉筛选框
4. ","1. 成功打开全局看板页面
2. 定位到项目类型数量展示区域
3. 下拉筛选框显示枚举值
4. 选择'已结项'枚举值",1,3,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 单选筛选/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 项目状态统计下拉筛选框 - 单选筛选 - 该筛选条件仅作用于项目类型数量统计,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域
3. 点击项目状态统计下拉筛选框
4. 选择单选筛选条件","1. 成功打开全局看板页面
2. 项目类型数量展示区域可见
3. 项目状态统计下拉筛选框展开，显示单选筛选条件
4. 选择单选筛选条件后，项目类型数量统计结果根据筛选条件更新",1,3,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 统计质检项目数量（包含结项）/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 统计质检项目数量（包含结项） - 一休云质检项目空间总数,系统已启动，用户已登录,"1. 打开全局看板页面
2. 进入项目类型数量展示区域
3. 查看统计质检项目数量（包含结项）部分","1. 成功打开全局看板页面
2. 正确进入项目类型数量展示区域
3. 显示正确的质检项目空间总数",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 操作/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 操作 - 暂无，直接是0,系统已启动，用户已登录,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域","1. 成功打开全局看板页面
2. 项目类型数量展示区域显示为0",1,2,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 打磨/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 打磨 - 暂无，直接是0,系统已启动，用户已登录,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域
3. ","1. 成功打开全局看板页面
2. 项目类型数量展示区域显示正常
3. 项目类型数量展示区域显示为0",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 项目类型数量展示区域 - 焊接/,全局看板（封伟/林禹成） - 项目类型数量展示区域 - 焊接 - 暂无，直接是0,系统已启动，用户已登录,"1. 打开全局看板页面
2. 定位到项目类型数量展示区域
3. 查看焊接项目类型的数量","1. 成功打开全局看板页面
2. 项目类型数量展示区域正确显示
3. 焊接项目类型的数量直接显示为0",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值 - 全部（默认值）,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 定位到近12个月趋势展示区域
3. 点击项目类型统计下拉筛选框","1. 成功打开全局看板页面
2. 成功定位到近12个月趋势展示区域
3. 项目类型统计下拉筛选框显示，默认选中全部选项",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值 - 质检,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 进入近12个月趋势展示区域
3. 定位到项目类型统计下拉筛选框
4. 
5. ","1. 成功打开全局看板页面
2. 成功进入近12个月趋势展示区域
3. 项目类型统计下拉筛选框可见且可操作
4. 下拉筛选框中包含多个枚举值
5. 选择一个枚举值后，系统正确更新趋势展示区域的数据",1,3,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值 - 操作,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 定位到近12个月趋势展示区域
3. 点击项目类型统计下拉筛选框","1. 下拉筛选框成功打开
2. 显示所有可用的项目类型枚举值
3. 点击某个枚举值后，系统根据所选值更新趋势展示区域的数据",1,1,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值 - 焊接,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 进入近12个月趋势展示区域
3. 定位到项目类型统计下拉筛选框
4. ","1. 成功打开全局看板页面
2. 成功进入近12个月趋势展示区域
3. 项目类型统计下拉筛选框可见且可操作
4. 下拉筛选框中包含焊接枚举值",1,1,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值 - 打磨,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 进入近12个月趋势展示区域
3. 定位到项目类型统计下拉筛选框
4. 
5. ","1. 成功打开全局看板页面
2. 成功进入近12个月趋势展示区域
3. 项目类型统计下拉筛选框可见且可操作
4. 下拉筛选框中显示正确的枚举值列表
5. 选择一个枚举值后，系统应正确更新趋势展示区域的数据",1,2,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 枚举值 - 当前只有质检，其他置灰,系统已启动，用户已登录，全局看板页面已加载,"1. 打开全局看板页面
2. 定位到近12个月趋势展示区域
3. 点击项目类型统计下拉筛选框","1. 下拉筛选框成功打开
2. 枚举值中显示质检选项
3. 其他项目类型选项置灰不可选",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 项目类型统计下拉筛选框 - 单选筛选,系统已启动，用户已登录，全局看板页面已加载,"1. 进入全局看板页面
2. 定位到近12个月趋势展示区域
3. 点击项目类型统计下拉筛选框","1. 成功打开项目类型统计下拉筛选框
2. 下拉筛选框中显示所有项目类型选项
3. 选择一个项目类型进行单选筛选",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图 - 统计近12个月的项目开始和结项的数量,系统已启动，用户已登录，全局看板页面已加载,"1. 进入全局看板页面
2. 定位到近12个月趋势展示区域
3. 点击折线图查看详细数据","1. 成功进入全局看板页面
2. 近12个月趋势展示区域显示折线图
3. 折线图正确统计并展示了近12个月的项目开始和结项数量",1,1,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图 - 横轴/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图 - 横轴 - 年月（最近12个月）,系统已启动，用户已登录，全局看板页面已加载,"1. 进入全局看板页面
2. 定位到近12个月趋势展示区域
3. 查看折线图
4. 观察横轴显示的年月信息","1. 成功进入全局看板页面
2. 近12个月趋势展示区域可见
3. 折线图正确显示
4. 横轴显示的年月信息正确且包含最近12个月",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图 - 纵轴/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图 - 纵轴 - 数量,系统已启动，用户已登录，全局看板页面已加载,"1. 进入全局看板页面
2. 定位到近12个月趋势展示区域
3. 查看折线图
4. 观察折线图的纵轴","1. 成功进入全局看板页面
2. 近12个月趋势展示区域可见
3. 折线图正确显示
4. 纵轴显示数量，单位正确",1,1,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图/,全局看板（封伟/林禹成） - 近12个月趋势展示区域 - 折线图 - 值：开始数量（橘色），结项数量（浅蓝色）,系统已启动，用户已登录，全局看板页面已加载,"1. 进入全局看板页面
2. 定位到近12个月趋势展示区域
3. 查看折线图中的开始数量（橘色）
4. 查看折线图中的结项数量（浅蓝色）","1. 成功进入全局看板页面
2. 近12个月趋势展示区域显示正确
3. 折线图中的开始数量（橘色）显示清晰
4. 折线图中的结项数量（浅蓝色）显示清晰",1,3,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 行业分布图展示区域/,全局看板（封伟/林禹成） - 行业分布图展示区域 - 图表名称：行业分布（TOP5）,系统已启动，用户已登录，全局看板页面加载完成,"1. 进入全局看板页面
2. 定位到行业分布图展示区域
3. 检查图表名称是否为‘行业分布（TOP5）’","1. 成功进入全局看板页面
2. 行业分布图展示区域可见
3. 图表名称正确显示为‘行业分布（TOP5）’",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 行业分布图展示区域 - 类型：环形图/,全局看板（封伟/林禹成） - 行业分布图展示区域 - 类型：环形图 - 内容：根据项目空间的行业来分类，当前只有3C电子，汽车配件,系统已启动，用户已登录，全局看板页面加载完成,"1. 进入全局看板页面
2. 定位到行业分布图展示区域
3. 检查环形图是否正确加载","1. 成功进入全局看板页面
2. 行业分布图展示区域正确显示环形图
3. 环形图正确展示3C电子和汽车配件两个行业的分类",1,1,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 行业分布图展示区域 - 类型：环形图/,全局看板（封伟/林禹成） - 行业分布图展示区域 - 类型：环形图 - 根据行业分布数量进行统计并计算占比，前五展示出来，后面的所有都算进其他这个分类,系统已启动，用户已登录，全局看板行业分布图展示区域已加载,"1. 进入全局看板页面
2. 定位到行业分布图展示区域
3. 检查环形图是否正确显示
4. 查看前五个行业分布数量及其占比
5. 检查其他分类是否包含所有未在前五展示的行业分布数量及占比","1. 成功进入全局看板页面
2. 行业分布图展示区域环形图正确显示
3. 前五个行业分布数量及其占比准确无误
4. 其他分类包含所有未在前五展示的行业分布数量及占比
5. ",1,2,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 行业分布图展示区域 - 类型：环形图/,全局看板（封伟/林禹成） - 行业分布图展示区域 - 类型：环形图 - 对应的行业颜色是固定,系统已启动，用户已登录，全局看板行业分布图展示区域已加载,"1. 进入全局看板页面
2. 定位到行业分布图展示区域
3. 检查环形图是否正确显示","1. 成功进入全局看板页面
2. 行业分布图展示区域环形图正确显示
3. 对应的行业颜色是固定的，且与系统设置一致",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 行业分布图展示区域/,全局看板（封伟/林禹成） - 行业分布图展示区域 - 行业类型名称（展示在环形图下方，取值前五，最后是其他。）,系统已启动，用户已登录，全局看板页面加载完成,"1. 进入全局看板页面
2. 定位到行业分布图展示区域
3. 检查环形图下方是否显示行业类型名称
4. ","1. 成功进入全局看板页面
2. 行业分布图展示区域可见
3. 环形图下方显示前五个行业类型名称
4. 最后显示'其他'作为剩余行业类型的名称",1,4,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示/,全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 数据来源：创建时间排序前五的项目（当前只有质检类型空间）,系统已启动，用户已登录，且用户有权限访问全局看板,"1. 进入全局看板页面
2. 定位到最近项目展示区域
3. 检查列表展示功能
4. 
5. 
6. ","1. 成功进入全局看板页面
2. 最近项目展示区域可见
3. 列表展示功能正常显示
4. 展示的项目按创建时间排序
5. 展示的项目数量为前五
6. 所有展示的项目均为质检类型空间",1,3,功能测试,功能测试阶段
/全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示/,全局看板（封伟/林禹成） - 最近项目展示区域 - 列表展示 - 项目名称,系统已启动，用户已登录,"1. 打开全局看板页面
2. 进入最近项目展示区域
3. 查看项目名称列表","1. 成功打开全局看板页面
2. 最近项目展示区域显示正常
3. 项目名称列表完整且准确显示",1,2,功能测试,功能测试阶段
