所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮/,综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 将【删除】和【导出任务】合并到【更多】下,系统已启动，用户已登录,"1. 打开综合 - 深度训练任务页面
2. 找到单个训练任务操作区域
3. 点击【更多】按钮","1. 成功打开综合 - 深度训练任务页面
2. 单个训练任务操作区域正常显示
3. 【更多】按钮成功展开，显示【删除】和【导出任务】选项",1,3,功能测试,功能测试阶段
/综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮/,综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 选择导出的训练记录,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 点击【导出任务】按钮
3. 选择要导出的训练记录","1. 成功打开深度训练任务页面
2. 【导出任务】按钮成功显示
3. 成功选择导出的训练记录",1,3,功能测试,功能测试阶段
/综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮/,综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 下方显示：已选择X条（最多不超过10条）！,系统已启动，用户已登录,"1. 打开深度训练任务功能页面
2. 选择训练任务
3. 点击【导出任务】按钮","1. 成功打开页面
2. 显示已选择X条（最多不超过10条）
3. 系统成功处理并提示操作成功",1,4,功能测试,功能测试阶段
/综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【取消】/,综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【取消】 - 弹框取消,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 找到并点击【导出任务】按钮
3. 在弹出的确认框中点击【取消】","1. 成功打开深度训练任务页面
2. 导出任务的确认框成功弹出
3. 确认框关闭，未进行导出操作",1,4,功能测试,功能测试阶段
/综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【确认】/,综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【确认】 - 必须选择一条训练记录,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 点击【导出任务】按钮
3. 弹出确认框，点击【确认】按钮","1. 成功打开深度训练任务页面
2. 系统提示必须选择一条训练记录
3. 确认框成功弹出并处理用户操作",1,1,功能测试,功能测试阶段
/综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【确认】/,综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【确认】 - 超过10条提示,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 点击【导出任务】按钮
3. 在弹出的确认框中点击【确认】","1. 成功打开深度训练任务页面
2. 成功触发导出任务操作
3. 系统提示超过10条数据，无法导出",1,2,功能测试,功能测试阶段
/综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【确认】/,综合 - 深度训练任务 - 单个训练任务操作下新增【导出任务】按钮 - 点击【导出任务】按钮 - 【确认】 - 确认后开始下载,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 点击【导出任务】按钮
3. 在弹出确认框中点击【确认】","1. 成功打开深度训练任务页面
2. 导出任务按钮成功显示
3. 系统开始下载任务文件",1,3,功能测试,功能测试阶段
/综合 - 深度训练任务 - 新增【导入任务】按钮/,综合 - 深度训练任务 - 新增【导入任务】按钮 - 点击【导入任务】可上传ZIP包,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 点击【导入任务】按钮
3. 选择一个ZIP包并确认上传","1. 成功打开深度训练任务页面
2. 【导入任务】按钮可正常点击
3. 系统成功上传ZIP包并提示上传成功",1,3,功能测试,功能测试阶段
/综合 - 深度训练任务 - 新增【导入任务】按钮/,综合 - 深度训练任务 - 新增【导入任务】按钮 - 最大限制10G,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 点击新增【导入任务】按钮
3. 上传一个大小为10G的文件","1. 成功打开深度训练任务页面
2. 成功显示新增【导入任务】按钮
3. 系统成功处理并提示文件上传成功",1,1,功能测试,功能测试阶段
/综合 - 深度训练任务 - 新增【导入任务】按钮/,综合 - 深度训练任务 - 新增【导入任务】按钮 - 上传进度完成后，任务显示“处理中”,系统已启动，用户已登录,"1. 打开深度训练任务页面
2. 点击新增【导入任务】按钮
3. 上传任务文件
4. 等待上传进度完成","1. 成功打开深度训练任务页面
2. 成功点击新增【导入任务】按钮
3. 任务文件成功上传
4. 任务状态显示为“处理中”",1,3,功能测试,功能测试阶段
